Available and desirable,,Gelesen: 8/30
,,
Avlbl,Glsn,"Autor, Werk/Sammlung"
FALSE,FALSE,Brecht (Gedichte)
FALSE,FALSE,Ende M. (Die unendliche Geschichte)
FALSE,FALSE,Goethe (Faust)
FALSE,FALSE,Hesse (Maerchen)
FALSE,TRUE,Hesse (Narziss und Goldmund)
FALSE,TRUE,Hesse (Siddhartha)
FALSE,TRUE,Hesse (Steppenwolf)
FALSE,FALSE,Hoffmann
FALSE,FALSE,Jean Paul
FALSE,FALSE,Kaestner (Fabian)
FALSE,FALSE,Mann Th. (Der Zauberberg)
FALSE,FALSE,Mann Th. (Doktor Faustus)
FALSE,FALSE,Mann Th. (Novellen)
FALSE,FALSE,Nietzsche (Also sprach Zarathustra)
FALSE,FALSE,Remarque (Arc de Triomphe)
FALSE,FALSE,Remarque (Der schwarze Obelisk)
FALSE,FALSE,Remarque (Liebe deinen Naechsten)
FALSE,FALSE,Zweig (Ungeduld des Herzens)
FALSE,FALSE,
FALSE,FALSE,
FALSE,FALSE,
TRUE,TRUE,Benvenuto Cellini's Lebensbeschreibung
TRUE,FALSE,Heine (Buch der Lieder)
TRUE,TRUE,Hesse (Glasperlenspiel)
TRUE,FALSE,"Hoffmann (Sandmann, Fraulein von Scuderi) "
TRUE,TRUE,Kaestner (Als ich ein kleiner Junge war)
TRUE,FALSE,Kafka (Erzaehlungen)
TRUE,FALSE,Remarque (Der Funke Leben)
TRUE,TRUE,Remarque (Drei Kameraden)
TRUE,TRUE,Remarque (Im Westen nichts Neues)
TRUE,FALSE,Remarque (Zeit zu leben und Zeit zu sterben)
TRUE,FALSE,Zweig (Novellen)
TRUE,FALSE,Zweig (Sternstunden der Menschheit)
