Available and desirable,,Gelesen: 37/121
,,
Avlbl,Glsn,"Autor, Werk/Sammlung"
FALSE,FALSE,"!?Вестера, Тиман (Я бы так никогда не сделал)"
FALSE,FALSE,!Джером (Трое в лодке не считая собаки)
FALSE,FALSE,"!Кестнер (Эмиль и трое близнецов, пер. Лунгиной)"
FALSE,FALSE,"!Крюс (Тим Талер, или проданный смех)"
FALSE,FALSE,!Ларри Ян (Необыкновенные приключения Карика и Вали)
FALSE,FALSE,!Очень голодная гусеница
FALSE,FALSE,!Парвела Тимо (Мявка и Тявка и шар)
FALSE,FALSE,!Парвела Тимо (Элла в первом классе и др.)
FALSE,FALSE,?Каверин (Два капитана)
FALSE,FALSE,Булычев (Сто лет тому вперед)
FALSE,FALSE,Буссенар (Капитан Сорвиголова)
FALSE,FALSE,Гофман Э.Т.
FALSE,FALSE,Грипе М. (Элвис)
FALSE,FALSE,Гюго (Отверженные)
FALSE,FALSE,Гюго (Собор Парижской Богоматери)
FALSE,FALSE,Диккенс (Оливер Твист - в идеале в оригинале)
FALSE,FALSE,Дюма (Граф Монтекристо)
FALSE,FALSE,Жюль Верн (Вокруг света за 80 дней)
FALSE,FALSE,Жюль Верн (Путешествие к центру земли)
FALSE,FALSE,Жюль Верн (Пятнадцатилетный капитан)
FALSE,FALSE,Жюль Верн (Пять недель на воздушном шаре)
FALSE,FALSE,Жюль Верн (Тайнственный остров)
FALSE,FALSE,Жюль Верн (Школа робинзонов)
FALSE,FALSE,"Киплинг (Баллады, ориг. или пер. Оношкович-Яцыны)"
FALSE,FALSE,Киплинг (рассказы)
FALSE,FALSE,Конан-Дойль (Шерлок Холмс)
FALSE,FALSE,"Купер Ф., Следопыт"
FALSE,FALSE,Левин В.А. (Глупая лошадь)
FALSE,FALSE,Лондон (Рассказы южных морей)
FALSE,FALSE,Лондон (Сын волка - сборник)
FALSE,TRUE,Портер (Поллианна)
FALSE,FALSE,Родари (Джельсомино в стране лжецов)
FALSE,FALSE,Твен (Принц и нищий)
FALSE,FALSE,Уайльд (сказки)
FALSE,FALSE,Уэллс (Война миров; Освобожденный мир)
FALSE,FALSE,Черный С. (Детский остров)
