Available and desirable,,Gelesen: 36/107
,,
Avlbl,Glsn,"Autor, Werk/Sammlung"
FALSE,FALSE,!Басё (Японские трехстишия)
FALSE,FALSE,!Сервантес (Дон Кихот)
FALSE,FALSE,!Чукоккала
FALSE,FALSE,?Астафьев В.П. (Прокляты и убиты)
FALSE,FALSE,?Конфуций
FALSE,FALSE,?Лао-цзы
FALSE,FALSE,#Заболоцкий (История моего заключения)
FALSE,FALSE,#Ион Деген (Война никогда не кончается)
FALSE,FALSE,#Керсновская (Сколько стоит человек)
FALSE,FALSE,#Кузнецов (Бабий Яр)
FALSE,FALSE,#Петкевич (Жизнь - сапожок непарный)
FALSE,FALSE,#Ходасевич (Некрополь. Воспоминания)
FALSE,FALSE,#Шаламов (Колымские рассказы)
FALSE,FALSE,Булгаков (Мольер)
FALSE,FALSE,Вазари Дж. (Жизнеописания)
FALSE,FALSE,Достоевский - тт. 23-30
FALSE,FALSE,Еврипид (Медея)
FALSE,TRUE,"Ильф, Петров (Одноэтажная Америка)"
FALSE,FALSE,"Лем, Мгновения"
FALSE,FALSE,"Лем, Мегабитовая бомба"
FALSE,FALSE,"Лем, Мой взгляд на литературу"
FALSE,FALSE,"Лем, Молох"
FALSE,FALSE,"Лем, Раса хищников"
FALSE,FALSE,"Лем, т. 10 (Абсолютная пустота, Мнимая величина)"
FALSE,FALSE,"Лем, т. 9 (Мир на земле, Глас господа)"
FALSE,FALSE,"Лем, Тайна китайской комнаты"
FALSE,FALSE,"Лем, Так говорил Лем"
FALSE,TRUE,"Лем, Фантастика и футурология"
FALSE,FALSE,Набоков (Дар)
FALSE,FALSE,Набоков (Камера обскура)
FALSE,TRUE,Платон (Диалоги)
FALSE,FALSE,Софокл (Эдип)
FALSE,FALSE,Толстой Л.Н. (Война и Мир)
FALSE,FALSE,"Флобер (Мадам Бовари, пер. Ромм А.И.)"
FALSE,FALSE,
FALSE,FALSE,
TRUE,FALSE,1001 ночь
TRUE,FALSE,Астафьев (Последний поклон)
TRUE,FALSE,"Бальзак  (Шагреневая кожа, Отец Горио)"
TRUE,FALSE,"БВЛ: т.144 (Гашек, Швейк)"
