Available and desirable,,Gelesen: 2/23
,,
Avlbl,Glsn,"Autor, Werk/Sammlung"
FALSE,FALSE,!Рассел (Искусство мыслить)
FALSE,FALSE,!Рассел Б. (Брак и мораль)
FALSE,FALSE,"Аджемоглу (Почему одни страны богатые, а другие будные)"
FALSE,FALSE,Аджемоглу (Узкий коридор)
FALSE,FALSE,Бурлак (Происхождение языка)
FALSE,FALSE,Глейк (Хаос - создание новой науки)
FALSE,FALSE,Готтман (Эмоциональный интеллект ребенка)
FALSE,FALSE,"Канеман (Думай медленно, решай быстро)"
FALSE,FALSE,Новиков И.(Черные дыры и вселенная)
FALSE,FALSE,Пинкер (Лучшее в нас)
FALSE,FALSE,Пинкер (Чистый лист - Природа человека)
FALSE,FALSE,Рассел (My philosophical development)
FALSE,FALSE,Сапольски (Биология добра и зла)
FALSE,FALSE,"Сапольски (Кто мы такие. Гены. Наше тело, общество)"
FALSE,FALSE,Сапольски (Психология стресса)
FALSE,FALSE,"Тарле Е.В. (Политика, Падение абсолютизма в Европе и России, др.)"
FALSE,FALSE,Черчиль (Вторая мировая война)
FALSE,FALSE,Эппле (Неудобное прошлое)
FALSE,FALSE,
FALSE,FALSE,
TRUE,FALSE,!Рассел (История западной философии)
TRUE,TRUE,Гаспаров (Занимательная Греция)
TRUE,FALSE,Гаспаров (Рим. После Рима)
TRUE,FALSE,Новиков И.(Куда течет река времени)
TRUE,TRUE,Пропп (Морфология сказки)
